,Title,Published_date,Views,Likes,Comments,Month
0,A must visit place in meerut.,2024-06-28,22337,2526,32,Jun
1,Everyone should grow their own vegetables.,2024-06-27,54986,4629,111,Jun
2,Environmental Activist!,2024-06-26,27057,2464,43,Jun
3,Sometimes get out from the crowd .,2024-06-25,29751,3107,49,Jun
4,Summer are here now!,2024-06-24,84573,5609,89,Jun
5,Things changes with age,2024-06-23,27995,2403,56,Jun
6,Difference between chemical and non chemical farming.,2024-06-22,73082,5114,56,Jun
7,Be grateful for your life!,2024-06-21,15037,1606,30,Jun
8,Moringa Olifera,2024-06-20,215059,10669,163,Jun
9,Big shoutout to all the incredible souls out there.,2024-06-19,41931,4346,100,Jun
10,Grow grass on barren land,2024-06-18,102744,6877,95,Jun
11,Create Greenery!,2024-06-17,50682,3578,38,Jun
12,Areca Palm,2024-06-16,65167,4124,54,Jun
13,Encourage children to explore humanities.,2024-06-15,90853,7198,122,Jun
14,Tree Shade is the Solution,2024-06-14,130662,10244,207,Jun
15,Husk Mulch,2024-06-13,180460,9810,81,Jun
16,Leave nature's delicate tapestry undisturbed.,2024-06-12,420154,20609,212,Jun
17,Gautam Buddha!,2024-06-11,45158,2734,43,Jun
18,Do something different in life!,2024-06-10,33761,2489,66,Jun
19,Introducing Volunteer Hut!,2024-06-09,86694,5787,106,Jun
20,Mulch of sugarcane!,2024-06-08,54731,3167,29,Jun
21,Our Medals,2024-06-07,309304,20440,524,Jun
22,Send Us Seeds!,2024-06-06,56629,4497,158,Jun
23,Small step for a greener tomorrow!,2024-06-05,108524,8772,152,Jun
24,My college days recipe.,2024-06-04,130545,7032,135,Jun
25,Give a stray dog a home.,2024-06-03,131061,9412,267,Jun
26,Take a short nap after lunch!,2024-06-02,134116,10677,286,Jun
27,Canna (indica),2024-06-01,80331,5073,58,Jun
28,Boredom can be therapeutic!,2024-05-31,45672,4197,58,May
29,Moringa (oleifera),2024-05-30,132319,6556,75,May
30,Do cast your vote!,2024-05-29,50632,3095,68,May
31,Jungle Jalebi (Pithecellobium dulce),2024-05-28,84593,5163,112,May
32,Muzaffar Nagar Sewa Farm,2024-05-27,65334,5190,111,May
33,Pilkhan (Ficus virens),2024-05-26,75526,4815,54,May
34,Happy Earth Day!,2024-05-25,16362,1280,30,May
35,Peepal leaves sway in the breeze!!,2024-05-24,349792,16257,178,May
36,Kachnaar (Bauhinia variegata),2024-05-23,71056,5269,52,May
37,Education is Important.,2024-05-22,76008,5611,76,May
38,Why is remote farming not always feasible?,2024-05-21,83806,5732,62,May
39,Jeevamrit: Natural Liquid Fertilizer!,2024-05-20,239171,10376,152,May
40,Don't remove weed.,2024-05-19,533323,31601,384,May
41,Solitude is the best investement.,2024-05-18,43673,4030,68,May
42,Childhood Memories,2024-05-17,474953,28396,454,May
43,Kitchen tools can be used for gardening.,2024-05-16,207092,4907,72,May
44,Learn English Language.,2024-05-15,56306,3359,30,May
45,Don't scatter flour under the tree.,2024-05-14,3021166,100566,466,May
46,Plant Canna,2024-05-13,91068,5560,78,May
47,Leaf is Gold!,2024-05-12,501403,21340,150,May
48,Sound therapy!,2024-05-11,58662,5189,64,May
49,Plants Thrive On Care,2024-05-10,59970,3703,51,May
50,Save Mango Orchads,2024-05-09,632128,43976,711,May
51,Ban Nylon thread for kids.,2024-05-07,41579,2452,45,May
52,Water crisis in Bangalore,2024-05-06,34450,2785,45,May
53,Peepal and Poplar,2024-05-05,86415,3959,36,May
54,Moringa oleifera,2024-05-04,259958,13198,152,May
55,Listen to Sonam Wangchuk,2024-05-03,54206,5954,211,May
56,Soil Nutrition in Large-mouthed Pots!,2024-05-02,171810,7097,50,May
57,Protect Plants From Sunlight,2024-05-01,65026,3900,23,May
58,23+ Millionaire,2024-04-30,33035,3423,100,Apr
59,Keep Exteracted Peepal Tree In Mugs!,2024-04-29,93520,4015,40,Apr
60,Spider Plant,2024-04-28,92012,4903,43,Apr
61,Don't Use Paper Cups,2024-04-27,112129,5698,80,Apr
62,Plant Kathal (Jackfruit),2024-04-26,75596,5156,64,Apr
63,Concave Trenching,2024-04-24,60057,2713,21,Apr
64,Let the grass be its own mulch.,2024-04-23,20949,1292,21,Apr
65,Install Handpumps On Your Plantation Sites.,2024-04-22,263162,10525,83,Apr
66,Use Spray Bottles.,2024-04-21,57326,3057,25,Apr
67,Plant Seeds Outdoors.,2024-04-20,42420,2155,17,Apr
68,Karanj Papdi,2024-04-19,152831,10019,214,Apr
69,Dry Leaves into Gold Compost,2024-04-18,90189,5668,48,Apr
70,Plant Oxalis,2024-04-17,56559,3602,51,Apr
71,Never Uproot Grass.,2024-04-16,56394,3209,50,Apr
72,Build Ponds on Site.,2024-04-15,140188,9865,216,Apr
73,Transforming stubble into nourishing mulch!,2024-04-14,136309,7149,55,Apr
74,Use Steel Utensils.,2024-04-13,42673,2412,40,Apr
75,Install Handpumps in Plantation Site.,2024-04-12,244533,14123,125,Apr
76,Always Wear A Cap When You Are In Sunlight.,2024-04-11,44044,2249,29,Apr
77,Do cast your vote.,2024-04-10,14251,904,25,Apr
78,"We take in ONLY abandoned, injured puppies and kittens, in need of safety.",2024-04-09,21597,1386,22,Apr
79,"We take in ONLY abandoned, injured puppies and kittens, in need of safety.",2024-04-08,16969,1163,8,Apr
80,Parthenium hysterophorus (Carrot Grass).,2024-04-07,37354,2278,53,Apr
81,Pitcher Pot Or Fridge Water?,2024-04-06,51665,3114,26,Apr
82,Natural Farming Kheti Workshop,2024-04-05,10914,691,8,Apr
83,Two Bs For Bio Fencing,2024-04-04,174944,8177,56,Apr
84,World Sparrow day,2024-04-03,30311,2819,36,Apr
85,Earth Needs A Lot Of Heroes!,2024-04-01,13815,1208,34,Apr
86,"We take in ONLY abandoned, injured puppies and kittens, in need of safety!",2024-03-30,19538,1866,75,Mar
87,Invest In Steel Utensils,2024-03-29,21487,1607,69,Mar
88,Tree Sustainable Urban Development.,2024-03-27,98620,5591,33,Mar
89,Stop Pressure For On Time Delivery.,2024-03-26,12913,1318,48,Mar
90,This is what one man's dream can do!,2024-03-25,10412,1058,27,Mar
91,"Biking: Relaxation, Freedom and Meditation",2024-03-24,28831,1695,39,Mar
92,Youngsters should have on field knowledge.,2024-03-23,19276,1489,28,Mar
93,Pigeons Effect Your Health Too!,2024-03-22,28056,1328,30,Mar
94,Choose Natural Greenery Over Exotic Plants!,2024-03-21,17990,1491,26,Mar
95,Peepal Tree: Best support and shelter provider for plants.,2024-03-20,16963,1337,13,Mar
96,Constructing Home Near Rivers Is Disasterous.,2024-03-19,12376,850,14,Mar
97,Multi Cropping Solutions.,2024-03-18,16227,1028,17,Mar
98,This is the way to create Bio-Enzymes from waste.,2024-03-17,55133,3716,53,Mar
99,How you call it your place of worship,2024-03-16,12399,789,26,Mar
100,Pune Come and See Me!,2024-03-13,11842,763,19,Mar
101,Tree Planted In 2003,2024-03-12,27805,2039,43,Mar
102,Lemon and Amla is best for Vitamin C.,2024-03-11,20133,1398,16,Mar
103,Use Steel Bottles!,2024-03-10,23365,1693,35,Mar
104,Natural vs Chemical,2024-03-09,12540,1001,8,Mar
105,Embrace Naturality.,2024-03-08,17035,1426,13,Mar
106,Sign Of Maturity,2024-03-07,8144,1000,29,Mar
107,Do Something Different In Life.,2024-03-06,17648,1773,27,Mar
108,"If you're dedicated, people will support you!",2024-03-05,16894,1610,22,Mar
109,Moringa(Oleifera): Windbreakers,2024-03-04,21246,1733,20,Mar
110,We Follow Nature's Lead.,2024-03-03,14841,1554,36,Mar
